50
0,18,73,98,9,33,16,64,98,58,61,84,49,27,13,63,4,50,56,78,98,99,1,90,58,35,93,30,76,14,41,4,3,4,84,70,2,49,88,28,55,93,4,68,29,98,57,64,71,30
18,0,45,30,87,29,98,59,38,3,54,72,83,13,24,81,93,38,16,96,43,93,92,65,55,65,86,25,39,37,76,64,65,51,76,5,62,32,96,52,54,86,23,47,71,90,100,87,95,48
73,45,0,12,57,85,66,14,100,21,67,51,48,63,94,4,61,6,40,91,79,76,75,51,83,22,22,65,30,2,99,26,70,71,30,52,66,45,74,46,59,35,85,71,78,94,1,50,95,66
98,30,12,0,17,67,100,72,27,55,8,62,47,73,71,26,65,53,63,46,54,45,1,69,70,80,79,43,59,77,4,30,82,23,71,75,24,12,71,33,5,87,10,11,3,58,2,97,97,36
9,87,57,17,0,32,35,15,80,24,45,38,9,22,21,33,68,22,85,35,83,92,38,59,90,42,64,61,15,4,40,50,44,54,25,34,14,33,94,66,27,78,56,3,29,3,51,19,5,93
33,29,85,67,32,0,21,58,91,65,87,55,70,29,81,89,67,58,29,68,84,4,51,87,74,42,85,81,55,8,95,39,17,28,7,40,10,10,40,39,96,21,54,73,33,17,2,72,5,76
16,98,66,100,35,21,0,28,73,59,22,100,91,80,66,5,49,26,45,13,27,74,87,56,76,25,64,14,86,50,38,65,64,3,42,79,52,37,3,21,26,42,73,18,44,55,28,35,87,13
64,59,14,72,15,58,28,0,49,71,45,88,69,63,99,69,31,9,93,6,11,18,22,22,69,28,35,98,43,77,65,33,48,44,44,15,38,31,78,100,92,63,18,75,71,99,14,42,6,53
98,38,100,27,80,91,73,49,0,10,49,19,17,44,15,79,76,49,10,74,71,29,73,11,35,47,38,73,69,15,59,36,14,6,38,2,79,86,2,12,53,15,6,25,31,76,54,21,15,58
58,3,21,55,24,65,59,71,10,0,22,88,31,21,96,14,56,49,70,38,71,33,92,62,41,13,27,84,41,6,4,2,38,93,77,41,58,51,41,52,9,9,41,77,59,15,33,28,80,100
61,54,67,8,45,87,22,45,49,22,0,70,89,61,85,46,34,24,70,27,40,26,32,47,11,36,12,97,58,12,84,74,83,44,30,50,40,6,42,24,41,75,39,32,43,13,70,79,75,77
84,72,51,62,38,55,100,88,19,88,70,0,12,32,29,3,32,52,10,35,71,10,94,10,3,82,2,38,97,46,64,61,20,13,65,100,42,10,66,86,23,23,100,20,19,41,40,14,91,66
49,83,48,47,9,70,91,69,17,31,89,12,0,78,38,17,27,19,70,93,5,100,41,80,87,71,96,89,27,23,39,56,69,21,7,92,86,32,33,100,9,88,58,56,71,33,70,57,69,59
27,13,63,73,22,29,80,63,44,21,61,32,78,0,2,51,44,22,34,63,4,83,54,74,3,8,89,46,75,18,76,17,18,34,36,51,73,52,23,79,12,30,63,1,23,68,41,65,84,57
13,24,94,71,21,81,66,99,15,96,85,29,38,2,0,88,82,94,29,31,41,64,88,62,29,92,53,44,72,79,94,84,36,83,29,7,10,98,66,83,48,21,66,99,27,40,39,89,39,71
63,81,4,26,33,89,5,69,79,14,46,3,17,51,88,0,48,22,90,90,95,60,77,11,16,78,66,74,49,23,20,33,55,28,73,93,97,7,64,88,51,92,82,45,50,66,22,70,94,6
4,93,61,65,68,67,49,31,76,56,34,32,27,44,82,48,0,68,12,33,81,13,35,95,11,18,100,79,85,88,90,11,57,31,49,56,51,22,42,57,17,80,63,28,16,56,77,69,53,16
50,38,6,53,22,58,26,9,49,49,24,52,19,22,94,22,68,0,85,38,36,32,49,96,72,1,25,68,57,75,3,4,81,78,32,34,27,23,37,19,70,26,35,40,75,97,33,88,58,22
56,16,40,63,85,29,45,93,10,70,70,10,70,34,29,90,12,85,0,70,46,63,54,16,99,27,74,50,27,37,14,4,16,73,96,2,70,38,87,98,93,84,18,10,65,48,74,40,56,65
78,96,91,46,35,68,13,6,74,38,27,35,93,63,31,90,33,38,70,0,87,46,98,68,42,1,16,57,92,58,45,40,70,52,44,94,88,74,64,15,83,49,49,27,72,1,36,82,77,93
98,43,79,54,83,84,27,11,71,71,40,71,5,4,41,95,81,36,46,87,0,95,94,66,26,60,77,67,53,96,92,40,90,22,58,80,86,68,26,47,68,1,87,50,75,55,52,44,80,75
99,93,76,45,92,4,74,18,29,33,26,10,100,83,64,60,13,32,63,46,95,0,94,90,96,9,64,96,32,82,84,38,81,3,53,93,81,20,82,100,51,35,23,99,10,100,78,2,45,34
1,92,75,1,38,51,87,22,73,92,32,94,41,54,88,77,35,49,54,98,94,94,0,91,53,88,70,39,20,60,34,63,22,60,66,6,35,66,13,96,76,55,9,46,9,85,57,3,22,65
90,65,51,69,59,87,56,22,11,62,47,10,80,74,62,11,95,96,16,68,66,90,91,0,91,21,89,12,52,82,89,36,78,39,27,68,27,31,43,35,9,10,90,67,85,48,60,66,72,95
58,55,83,70,90,74,76,69,35,41,11,3,87,3,29,16,11,72,99,42,26,96,53,91,0,7,22,39,84,95,92,72,35,46,79,95,30,51,72,52,23,62,34,79,43,92,29,34,79,91
35,65,22,80,42,42,25,28,47,13,36,82,71,8,92,78,18,1,27,1,60,9,88,21,7,0,32,85,4,80,52,41,56,98,32,35,25,10,81,94,22,75,57,75,94,19,78,34,59,68
93,86,22,79,64,85,64,35,38,27,12,2,96,89,53,66,100,25,74,16,77,64,70,89,22,32,0,21,18,100,18,92,57,47,40,97,52,31,15,92,27,92,88,40,9,14,30,51,42,64
30,25,65,43,61,81,14,98,73,84,97,38,89,46,44,74,79,68,50,57,67,96,39,12,39,85,21,0,13,24,6,8,77,3,97,28,88,5,64,91,68,93,79,57,44,85,36,16,79,89
76,39,30,59,15,55,86,43,69,41,58,97,27,75,72,49,85,57,27,92,53,32,20,52,84,4,18,13,0,23,13,29,52,30,64,58,49,97,22,30,31,37,60,71,75,50,28,58,92,34
14,37,2,77,4,8,50,77,15,6,12,46,23,18,79,23,88,75,37,58,96,82,60,82,95,80,100,24,23,0,43,64,76,15,28,11,6,2,1,62,41,50,75,37,26,52,21,98,83,20
41,76,99,4,40,95,38,65,59,4,84,64,39,76,94,20,90,3,14,45,92,84,34,89,92,52,18,6,13,43,0,4,2,50,19,86,70,8,73,49,33,17,11,60,84,39,2,5,69,8
4,64,26,30,50,39,65,33,36,2,74,61,56,17,84,33,11,4,4,40,40,38,63,36,72,41,92,8,29,64,4,0,68,17,6,36,100,16,56,12,25,4,64,82,17,96,36,88,25,85
3,65,70,82,44,17,64,48,14,38,83,20,69,18,36,55,57,81,16,70,90,81,22,78,35,56,57,77,52,76,2,68,0,58,50,43,81,35,34,83,82,32,32,8,76,76,23,45,55,78
4,51,71,23,54,28,3,44,6,93,44,13,21,34,83,28,31,78,73,52,22,3,60,39,46,98,47,3,30,15,50,17,58,0,90,72,82,67,8,46,71,53,69,26,92,69,55,85,9,92
84,76,30,71,25,7,42,44,38,77,30,65,7,36,29,73,49,32,96,44,58,53,66,27,79,32,40,97,64,28,19,6,50,90,0,35,96,79,93,97,10,33,23,13,20,8,27,55,6,7
70,5,52,75,34,40,79,15,2,41,50,100,92,51,7,93,56,34,2,94,80,93,6,68,95,35,97,28,58,11,86,36,43,72,35,0,82,12,66,61,65,48,13,41,6,17,69,5,57,86
2,62,66,24,14,10,52,38,79,58,40,42,86,73,10,97,51,27,70,88,86,81,35,27,30,25,52,88,49,6,70,100,81,82,96,82,0,17,51,98,91,58,4,95,68,35,12,33,42,11
49,32,45,12,33,10,37,31,86,51,6,10,32,52,98,7,22,23,38,74,68,20,66,31,51,10,31,5,97,2,8,16,35,67,79,12,17,0,39,5,50,8,94,34,41,95,17,34,49,15
88,96,74,71,94,40,3,78,2,41,42,66,33,23,66,64,42,37,87,64,26,82,13,43,72,81,15,64,22,1,73,56,34,8,93,66,51,39,0,87,39,13,55,32,65,72,27,43,44,66
28,52,46,33,66,39,21,100,12,52,24,86,100,79,83,88,57,19,98,15,47,100,96,35,52,94,92,91,30,62,49,12,83,46,97,61,98,5,87,0,51,75,62,14,17,84,58,68,72,93
55,54,59,5,27,96,26,92,53,9,41,23,9,12,48,51,17,70,93,83,68,51,76,9,23,22,27,68,31,41,33,25,82,71,10,65,91,50,39,51,0,75,90,67,69,4,38,96,21,26
93,86,35,87,78,21,42,63,15,9,75,23,88,30,21,92,80,26,84,49,1,35,55,10,62,75,92,93,37,50,17,4,32,53,33,48,58,8,13,75,75,0,48,50,67,42,13,53,45,17
4,23,85,10,56,54,73,18,6,41,39,100,58,63,66,82,63,35,18,49,87,23,9,90,34,57,88,79,60,75,11,64,32,69,23,13,4,94,55,62,90,48,0,74,9,6,39,84,69,41
68,47,71,11,3,73,18,75,25,77,32,20,56,1,99,45,28,40,10,27,50,99,46,67,79,75,40,57,71,37,60,82,8,26,13,41,95,34,32,14,67,50,74,0,54,39,41,46,35,42
29,71,78,3,29,33,44,71,31,59,43,19,71,23,27,50,16,75,65,72,75,10,9,85,43,94,9,44,75,26,84,17,76,92,20,6,68,41,65,17,69,67,9,54,0,96,96,67,65,2
98,90,94,58,3,17,55,99,76,15,13,41,33,68,40,66,56,97,48,1,55,100,85,48,92,19,14,85,50,52,39,96,76,69,8,17,35,95,72,84,4,42,6,39,96,0,68,16,20,41
57,100,1,2,51,2,28,14,54,33,70,40,70,41,39,22,77,33,74,36,52,78,57,60,29,78,30,36,28,21,2,36,23,55,27,69,12,17,27,58,38,13,39,41,96,68,0,94,42,42
64,87,50,97,19,72,35,42,21,28,79,14,57,65,89,70,69,88,40,82,44,2,3,66,34,34,51,16,58,98,5,88,45,85,55,5,33,34,43,68,96,53,84,46,67,16,94,0,74,9
71,95,95,97,5,5,87,6,15,80,75,91,69,84,39,94,53,58,56,77,80,45,22,72,79,59,42,79,92,83,69,25,55,9,6,57,42,49,44,72,21,45,69,35,65,20,42,74,0,58
30,48,66,36,93,76,13,53,58,100,77,66,59,57,71,6,16,22,65,93,75,34,65,95,91,68,64,89,34,20,8,85,78,92,7,86,11,15,66,93,26,17,41,42,2,41,42,9,58,0
